                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.81144,                0.62037,                 1.0891,                0.90999,                0.87211,                0.94352,                0.81019,                0.57755,                0.47472,                0.99425,                0.00307,                0.00307,                0.00307
                     38,                0.80738,                0.61531,                 1.0864,                  0.917,                0.86946,                0.94393,                0.81161,                0.57519,                0.47383,                0.99279,               0.002872,               0.002872,               0.002872
                     39,                0.79865,                0.60655,                 1.0832,                0.91905,                0.86787,                0.94402,                0.81201,                  0.574,                0.47269,                0.99224,               0.002674,               0.002674,               0.002674
                     40,                 0.7984,                0.60489,                 1.0798,                0.91318,                0.87355,                0.94403,                0.81272,                0.57257,                0.47133,                0.99137,               0.002476,               0.002476,               0.002476
                     41,                0.74168,                0.49298,                 1.0289,                0.91259,                0.87477,                0.94448,                0.81278,                 0.5722,                0.47002,                0.99072,               0.002278,               0.002278,               0.002278
                     42,                0.72737,                0.48048,                 1.0207,                0.90903,                0.87935,                0.94481,                0.81394,                0.57119,                0.46704,                0.98979,                0.00208,                0.00208,                0.00208
                     43,                0.71498,                 0.4683,                  1.011,                 0.9103,                0.87711,                0.94497,                0.81487,                0.56907,                0.46392,                0.98924,               0.001882,               0.001882,               0.001882
                     44,                0.70664,                0.46208,                 1.0061,                0.91173,                0.87743,                0.94582,                0.81572,                0.56779,                0.46162,                0.98872,               0.001684,               0.001684,               0.001684
                     45,                0.69121,                0.44809,                0.99759,                0.91326,                0.87558,                0.94627,                0.81557,                0.56617,                0.46008,                0.98777,               0.001486,               0.001486,               0.001486
                     46,                  0.681,                0.44209,                0.99358,                0.90907,                0.87993,                0.94648,                0.81599,                  0.565,                0.45871,                0.98706,               0.001288,               0.001288,               0.001288
                     47,                0.67185,                0.43411,                0.98955,                0.90867,                0.87905,                0.94622,                0.81617,                0.56406,                 0.4586,                0.98646,                0.00109,                0.00109,                0.00109
                     48,                0.66309,                0.42581,                0.98297,                0.90965,                0.87638,                0.94532,                0.81654,                0.56287,                0.45783,                0.98589,               0.000892,               0.000892,               0.000892
                     49,                0.65632,                0.41904,                 0.9792,                0.90977,                0.87871,                 0.9451,                0.81761,                0.56262,                0.45778,                0.98593,               0.000694,               0.000694,               0.000694
                     50,                0.65068,                0.41714,                0.97652,                0.90899,                0.87765,                0.94515,                0.81821,                0.56175,                0.45763,                0.98554,               0.000496,               0.000496,               0.000496
